% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 69.23   92.657155         134    691395     64593 futex
 19.13   25.597583         286     89422           pwrite64
 11.64   15.574680         255     60903           pread64
  0.00    0.001040         208         5           clone3
  0.00    0.000307          19        16           mmap
  0.00    0.000271          45         6           rseq
  0.00    0.000255          51         5           munmap
  0.00    0.000242          12        20           brk
  0.00    0.000219          10        21           rt_sigprocmask
  0.00    0.000157          26         6           set_robust_list
  0.00    0.000150           5        28           write
  0.00    0.000110          12         9           openat
  0.00    0.000059           9         6           mprotect
  0.00    0.000054           6         9           close
  0.00    0.000045           9         5           madvise
  0.00    0.000029           2        10           fstat
  0.00    0.000006           3         2           read
  0.00    0.000003           3         1           prlimit64
  0.00    0.000002           2         1           rt_sigaction
  0.00    0.000002           2         1           getrandom
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
------ ----------- ----------- --------- --------- ----------------
100.00  133.832369         158    841875     64594 total
